#  n                 E_n      E_n s10 [a.u.]      E_n s21 [a.u.]      E_n s45 [a.u.]      E_n s97 [a.u.]     E_n s206 [a.u.]     E_n s440 [a.u.]     E_n s938 [a.u.]    E_n s2000 [a.u.]
  42  -3.133926796600E-1  -2.916692805704E-1  -3.258446059947E-1  -3.128051690727E-1  -3.133930944620E-1  -3.133928245116E-1  -3.133926862376E-1  -3.133926799772E-1  -3.133926796753E-1
  43  -3.053623915155E-1  -2.793747566338E-1  -3.172196029615E-1  -3.047927304675E-1  -3.053624961276E-1  -3.053625279094E-1  -3.053623980083E-1  -3.053623918286E-1  -3.053623915307E-1
  44  -2.974363255137E-1  -2.672128557434E-1  -3.087151928639E-1  -2.968857258105E-1  -2.974361194472E-1  -2.974364559483E-1  -2.974363319216E-1  -2.974363258226E-1  -2.974363255286E-1
  45  -2.896144816820E-1  -2.551907673878E-1  -3.003342650107E-1  -2.890839862016E-1  -2.896139916260E-1  -2.896146041716E-1  -2.896144880052E-1  -2.896144819869E-1  -2.896144816967E-1
  46  -2.818968600483E-1  -2.433161608083E-1  -2.920787133052E-1  -2.813872922588E-1  -2.818961172258E-1  -2.818969796339E-1  -2.818968662866E-1  -2.818968603491E-1  -2.818968600628E-1
  47  -2.742834606401E-1  -2.315967466389E-1  -2.839504051094E-1  -2.737954629349E-1  -2.742824810330E-1  -2.742835762624E-1  -2.742834667934E-1  -2.742834609368E-1  -2.742834606544E-1
  48  -2.667742834850E-1  -2.200397348597E-1  -2.759511218375E-1  -2.663083676323E-1  -2.667730658427E-1  -2.667743996156E-1  -2.667742895534E-1  -2.667742837776E-1  -2.667742834991E-1
  49  -2.593693286104E-1  -2.086516178735E-1  -2.680818895269E-1  -2.589259003615E-1  -2.593678928513E-1  -2.593694448358E-1  -2.593693345945E-1  -2.593693288989E-1  -2.593693286244E-1
  50  -2.520685960435E-1  -1.974386721961E-1  -2.603433166330E-1  -2.516479613540E-1  -2.520669744614E-1  -2.520687146661E-1  -2.520686019436E-1  -2.520685963279E-1  -2.520685960572E-1
  51  -2.448720858112E-1  -1.864078335469E-1  -2.527359633921E-1  -2.444745044732E-1  -2.448703028476E-1  -2.448722070214E-1  -2.448720916262E-1  -2.448720860915E-1  -2.448720858247E-1
