#  n     ΔE_n s10 [a.u.]     ΔE_n s21 [a.u.]     ΔE_n s45 [a.u.]     ΔE_n s97 [a.u.]    ΔE_n s206 [a.u.]    ΔE_n s440 [a.u.]    ΔE_n s938 [a.u.]   ΔE_n s2000 [a.u.]
  63   9.457810259095E-2   4.681870843399E-3   1.270679335277E-4   2.157804254610E-6   9.732054678802E-8   4.881554493963E-9  2.312627034318E-10  1.116412517987E-11
  64   9.039509058132E-2   4.498621039735E-3   1.072324806620E-4   2.069818402173E-6   9.301071235424E-8   4.684968080149E-9  2.271723920089E-10  1.096445156890E-11
  65   8.859259961572E-2   4.318653533083E-3   8.805017416402E-5   1.968526267826E-6   8.971606837993E-8   4.461481184492E-9  2.230878259901E-10  1.076960742807E-11
  66   8.480457697802E-2   4.141072507377E-3   6.955806231512E-5   1.853487046288E-6   8.611656227009E-8   4.338606751642E-9  2.189977088563E-10  1.057365306423E-11
  67   8.128040189337E-2   3.965121678723E-3   5.179579969633E-5   1.726984297901E-6   8.377316118580E-8   4.386452590044E-9  2.149080358116E-10  1.037714358887E-11
  68   7.957886727973E-2   3.790427997723E-3   3.480120849086E-5   1.590990895139E-6   8.134753248790E-8   4.536048758830E-9  2.108183072558E-10  1.018005124642E-11
  69   7.542162951567E-2   3.616722398966E-3   1.860106985158E-5   1.447402125571E-6   7.967504397910E-8   4.614728432717E-9  2.067288562557E-10  9.982070725556E-12
  70   7.260602948550E-2   3.443853902934E-3   3.196626405411E-6   1.296694376651E-6   7.802054663442E-8   4.480499249393E-9  2.026392942334E-10  9.783396315299E-12
  71   7.085855004966E-2   3.271966188595E-3   1.142697008524E-5   1.138452397575E-6   7.707764593246E-8   4.142178933186E-9  1.985446251851E-10  9.583889237774E-12
  72   6.623540010108E-2   3.101288835567E-3   2.528585683684E-5   9.768610591682E-7   7.660843046042E-8   3.760761868588E-9  1.944610028559E-10  9.389267141557E-12
  73   6.404462000650E-2   2.932294777603E-3   3.836900665719E-5   8.140712560167E-7   7.639561547257E-8   3.530564646193E-9  1.903720514562E-10  9.193826255860E-12
  74   6.120880196118E-2   2.765641056435E-3   5.065119463749E-5   6.465612624046E-7   7.640166133083E-8   3.539728565816E-9  1.862778820083E-10  8.992223632376E-12
  75   5.786289043899E-2   2.602189586672E-3   6.210432195480E-5   4.784883318176E-7   7.607541402388E-8   3.718469226976E-9  1.821947037683E-10  8.800821182930E-12
  76   5.547483138233E-2   2.442978826025E-3   7.271598805554E-5   3.138828275490E-7   7.594455643523E-8   3.903407444494E-9  1.781007979984E-10  8.597747513939E-12
  77   5.301948921785E-2   2.289120637706E-3   8.252008874891E-5   1.486698887887E-7   7.550847623550E-8   3.954892038860E-9  1.740124294658E-10  8.399336781650E-12
  78   5.079749251853E-2   2.141603192875E-3   9.157997333134E-5   1.458140733157E-8   7.510696081736E-8   3.836275269675E-9  1.699242829778E-10  8.205713886156E-12
  79   4.876326509594E-2   2.001127520871E-3   9.992265293048E-5   1.702523023533E-7   7.439573744550E-8   3.609869611565E-9  1.658307657859E-10  8.005859863935E-12
  80   4.686934699816E-2   1.868176060560E-3   1.075242450886E-4   3.244168555600E-7   7.335732438163E-8   3.372496976128E-9  1.617428552203E-10  7.810835311872E-12
  81   4.511761222172E-2   1.743209674438E-3   1.143514062778E-4   4.727290050244E-7   7.218728562131E-8   3.188844133195E-9  1.576551944549E-10  7.615047481480E-12
  82   4.349683057805E-2   1.626579651884E-3   1.203994980041E-4   6.112275970360E-7   7.075241884036E-8   3.066267628693E-9  1.535620380855E-10  7.412903624271E-12
  83   4.199772190883E-2   1.518407590568E-3   1.257189389976E-4   7.467196540267E-7   6.931212696848E-8   2.974306301251E-9  1.494745993647E-10  7.215561481644E-12
  84   4.061235784288E-2   1.418618268347E-3   1.303994828703E-4   8.717918352497E-7   6.776145422549E-8   2.881628519136E-9  1.453873965662E-10  7.023104320325E-12
  85   3.933293712087E-2   1.326856479538E-3   1.344530075787E-4   9.881690309077E-7   6.604776946195E-8   2.780494473553E-9  1.412947120416E-10  6.818837161582E-12
