#             R [au]           V(R) [eV]         s10(R) [eV]         s21(R) [eV]         s45(R) [eV]         s97(R) [eV]        s206(R) [eV]        s440(R) [eV]        s938(R) [eV]       s2000(R) [eV]
    1.061606160616E0    6.285054913897E1    7.551631288464E1    6.959168823090E1    6.540428617761E1    6.339673837632E1    6.282635040077E1    6.285261722556E1    6.285054090174E1    6.285054913366E1
    1.062706270627E0    6.253496457112E1    7.539700811092E1    6.936751205735E1    6.510851652593E1    6.307302929818E1    6.250852791571E1    6.253694580013E1    6.253495541621E1    6.253496455941E1
    1.063806380638E0    6.222037811044E1    7.527771107726E1    6.914339276380E1    6.481297268657E1    6.274996601331E1    6.219194927466E1    6.222224218919E1    6.222036897734E1    6.222037809867E1
    1.064906490649E0    6.190678697564E1    7.515842191944E1    6.891933134816E1    6.451765862115E1    6.242755985143E1    6.187660367735E1    6.190850828044E1    6.190677862085E1    6.190678697022E1
    1.066006600660E0    6.159418839283E1    7.503914077327E1    6.869532880830E1    6.422257829129E1    6.210582214224E1    6.156248032353E1    6.159574596155E1    6.159418138241E1    6.159418839282E1
    1.067106710671E0    6.128257959547E1    7.491986777453E1    6.847138614214E1    6.392773565860E1    6.178476421545E1    6.124956841293E1    6.128395712020E1    6.128257429773E1    6.128257959097E1
    1.068206820682E0    6.097195782432E1    7.480060305902E1    6.824750434757E1    6.363313468471E1    6.146439740076E1    6.093785714529E1    6.097314364410E1    6.097195440249E1    6.097195781368E1
    1.069306930693E0    6.066232032749E1    7.468134676251E1    6.802368442247E1    6.333877933123E1    6.114473302788E1    6.062733572034E1    6.066330742091E1    6.066231873239E1    6.066232031660E1
    1.070407040704E0    6.035366436035E1    7.456209902081E1    6.779992736475E1    6.304467355979E1    6.082578242652E1    6.031799333782E1    6.035445033833E1    6.035366432312E1    6.035366435535E1
    1.071507150715E0    6.004598718556E1    7.444285996970E1    6.757623417229E1    6.275082133200E1    6.050755692639E1    6.000981919747E1    6.004657428404E1    6.004598825951E1    6.004598718555E1
    1.072607260726E0    5.973928607303E1    7.432362974497E1    6.735260584301E1    6.245722660949E1    6.019006785718E1    5.970280249903E1    5.973968114572E1    5.973928783996E1    5.973928606840E1
    1.073707370737E0    5.943355829991E1    7.420440848242E1    6.712904337478E1    6.216389335387E1    5.987332654861E1    5.939693244223E1    5.943377281107E1    5.943356042092E1    5.943355828917E1
    1.074807480748E0    5.912880115056E1    7.408519631783E1    6.690554776550E1    6.187082552677E1    5.955734433039E1    5.909219822681E1    5.912885116776E1    5.912880335882E1    5.912880113961E1
    1.075907590759E0    5.882501191656E1    7.396599338700E1    6.668212001307E1    6.157802708980E1    5.924213253221E1    5.878858905251E1    5.882491781507E1    5.882501401011E1    5.882501191151E1
    1.077007700770E0    5.852218789663E1    7.384679982572E1    6.645876111539E1    6.128550200458E1    5.892770248380E1    5.848609411906E1    5.852197103613E1    5.852218973123E1    5.852218789662E1
    1.078107810781E0    5.822032639669E1    7.372761576977E1    6.623547207035E1    6.099325423273E1    5.861406551484E1    5.818470262620E1    5.822000699193E1    5.822032787862E1    5.822032639219E1
    1.079207920792E0    5.791942472978E1    7.360844135494E1    6.601225387584E1    6.070128773588E1    5.830123295506E1    5.788440377367E1    5.791902180885E1    5.791942580871E1    5.791942471925E1
    1.080308030803E0    5.761948021608E1    7.348927671704E1    6.578910752975E1    6.040960647564E1    5.798921613416E1    5.758518676121E1    5.761901161329E1    5.761948087795E1    5.761948020532E1
    1.081408140814E0    5.732049018286E1    7.337012199184E1    6.556603402999E1    6.011821441363E1    5.767802638183E1    5.728704078855E1    5.731997253162E1    5.732049044278E1    5.732049017789E1
    1.082508250825E0    5.702245196448E1    7.325097731514E1    6.534303437445E1    5.982711551147E1    5.736767502780E1    5.698995505543E1    5.702190069024E1    5.702245185969E1    5.702245196447E1
    1.083608360836E0    5.672536290238E1    7.313184282273E1    6.512010956102E1    5.953631373078E1    5.705817340177E1    5.669391876159E1    5.672479221552E1    5.672536248868E1    5.672536289794E1
    1.084708470847E0    5.642922034505E1    7.301271865040E1    6.489726058760E1    5.924581303318E1    5.674953283344E1    5.639892110676E1    5.642864323386E1    5.642921969571E1    5.642922033464E1
    1.085808580858E0    5.613402164799E1    7.289360493394E1    6.467448845208E1    5.895561738029E1    5.644176465252E1    5.610495129068E1    5.613344987164E1    5.613402084733E1    5.613402163735E1
    1.086908690869E0    5.583976417375E1    7.277450180914E1    6.445179415236E1    5.866573073373E1    5.613488018871E1    5.581199851309E1    5.583920825526E1    5.583976331007E1    5.583976416882E1
    1.088008800880E0    5.554644529185E1    7.265540941179E1    6.422917868633E1    5.837615705512E1    5.582889077173E1    5.552005197373E1    5.554591451108E1    5.554644445048E1    5.554644529184E1
    1.089108910891E0    5.525406237879E1    7.253632787768E1    6.400664305188E1    5.808690030608E1    5.552380773128E1    5.522910087233E1    5.525356476551E1    5.525406163507E1    5.525406237442E1
    1.090209020902E0    5.496261281803E1    7.241725734260E1    6.378418824692E1    5.779796444823E1    5.521964239707E1    5.493913440862E1    5.496215514492E1    5.496261223041E1    5.496261280778E1
    1.091309130913E0    5.467209399999E1    7.229819794235E1    6.356181526934E1    5.750935344318E1    5.491640609880E1    5.465014178236E1    5.467168177571E1    5.467209360301E1    5.467209398948E1
    1.092409240924E0    5.438250332200E1    7.217914981271E1    6.333952511702E1    5.722107125256E1    5.461411016617E1    5.436211219327E1    5.438214078425E1    5.438250311943E1    5.438250331712E1
    1.093509350935E0    5.409383818829E1    7.206011308947E1    6.311731878788E1    5.693312183799E1    5.431276592891E1    5.407503484109E1    5.409352829695E1    5.409383814619E1    5.409383818828E1
    1.094609460946E0    5.380609600998E1    7.194108790843E1    6.289519727979E1    5.664550916109E1    5.401238471671E1    5.378889892555E1    5.380584044017E1    5.380609605361E1    5.380609600568E1
    1.095709570957E0    5.351927420507E1    7.182207440537E1    6.267316159066E1    5.635823718347E1    5.371297785928E1    5.350369364640E1    5.351907334031E1    5.351927426234E1    5.351927419495E1
    1.096809680968E0    5.323337019840E1    7.170307271609E1    6.245121271838E1    5.607130986675E1    5.341455668632E1    5.321940820338E1    5.323322312376E1    5.323337022887E1    5.323337018802E1
    1.097909790979E0    5.294838142166E1    7.158408297637E1    6.222935166084E1    5.578473117257E1    5.311713252755E1    5.293603179621E1    5.294828591689E1    5.294838141043E1    5.294838141684E1
    1.099009900990E0    5.266430531335E1    7.146510532201E1    6.200757941595E1    5.549850506252E1    5.282071671267E1    5.265355362464E1    5.266425784610E1    5.266430526430E1    5.266430531334E1
    1.100110011001E0    5.238113931876E1    7.134613988879E1    6.178589698159E1    5.521263549825E1    5.252532057138E1    5.237196288840E1    5.238113503778E1    5.238113924771E1    5.238113931453E1
    1.101210121012E0    5.209888088996E1    7.122718681252E1    6.156430535566E1    5.492712644135E1    5.223095543340E1    5.209124878723E1    5.209891382496E1    5.209888081791E1    5.209888087998E1
    1.102310231023E0    5.181752748581E1    7.110824622897E1    6.134280553606E1    5.464198185346E1    5.193763262843E1    5.181140052087E1    5.181759168281E1    5.181752743216E1    5.181752747556E1
    1.103410341034E0    5.153707657189E1    7.098931827393E1    6.112139852067E1    5.435720569620E1    5.164536348617E1    5.153240728906E1    5.153716647891E1    5.153707654771E1    5.153707656711E1
    1.104510451045E0    5.125752562052E1    7.087040308321E1    6.090008530740E1    5.407280193118E1    5.135415933633E1    5.125425829152E1    5.125763608116E1    5.125752562180E1    5.125752562051E1
    1.105610561056E0    5.097887211073E1    7.075150079259E1    6.067886689414E1    5.378877452002E1    5.106403150863E1    5.097694272801E1    5.097899835750E1    5.097887211170E1    5.097887210657E1
    1.106710671067E0    5.070111352824E1    7.063261153785E1    6.045774427878E1    5.350512742434E1    5.077499133276E1    5.070044979825E1    5.070125117585E1    5.070111348441E1    5.070111351840E1
    1.107810781078E0    5.042424736546E1    7.051373545480E1    6.023671845923E1    5.322186460576E1    5.048705013843E1    5.042476886224E1    5.042439240412E1    5.042424725121E1    5.042424735533E1
    1.108910891089E0    5.014827112144E1    7.039487267922E1    6.001579043336E1    5.293899002591E1    5.020021925535E1    5.014989403050E1    5.014841991023E1    5.014827093592E1    5.014827111671E1
    1.110011001100E0    4.987318230188E1    7.027602334690E1    5.979496119909E1    5.265650764639E1    4.991451001323E1    4.987582484377E1    4.987333156212E1    4.987318206234E1    4.987318230186E1
    1.111111111111E0    4.959897841911E1    7.015718759363E1    5.957423175430E1    5.237442142884E1    4.962993374177E1    4.960256113972E1    4.959912522769E1    4.959897815428E1    4.959897841502E1
    1.112211221122E0    4.932565699207E1    7.003836555520E1    5.935360309688E1    5.209273533487E1    4.934650177068E1    4.933010275603E1    4.932579877488E1    4.932565673556E1    4.932565698236E1
    1.113311331133E0    4.905321554628E1    6.991955736740E1    5.913307622475E1    5.181145332610E1    4.906422542967E1    4.905844953037E1    4.905335007159E1    4.905321532999E1    4.905321553628E1
    1.114411441144E0    4.878165161384E1    6.980076316603E1    5.891265213577E1    5.153057936414E1    4.878311604844E1    4.878760130042E1    4.878177698576E1    4.878165146138E1    4.878165160916E1
    1.115511551155E0    4.851096273340E1    6.968198308688E1    5.869233182786E1    5.125011741063E1    4.850318322964E1    4.851755790385E1    4.851107738531E1    4.851096265353E1    4.851096273339E1
    1.116611661166E0    4.824114645017E1    6.956321726572E1    5.847211629891E1    5.097007142718E1    4.822442546344E1    4.824831917834E1    4.824124913815E1    4.824114643027E1    4.824114644614E1
    1.117711771177E0    4.797220031586E1    6.944446583837E1    5.825200654682E1    5.069044537540E1    4.794683683942E1    4.797988496156E1    4.797229011221E1    4.797220031568E1    4.797220030628E1
    1.118811881188E0    4.770412188868E1    6.932572894059E1    5.803200356946E1    5.041124321692E1    4.767041143618E1    4.771225509120E1    4.770419817541E1    4.770412185781E1    4.770412187880E1
    1.119911991199E0    4.743690873336E1    6.920700670820E1    5.781210836476E1    5.013246891336E1    4.739514333231E1    4.744542940492E1    4.743697119566E1    4.743690864676E1    4.743690872873E1
    1.121012101210E0    4.717055842107E1    6.908829927697E1    5.759232193058E1    4.985412642634E1    4.712102660642E1    4.717940774041E1    4.717060704090E1    4.717055827688E1    4.717055842106E1
    1.122112211221E0    4.690506852947E1    6.896960678270E1    5.737264526484E1    4.957621971747E1    4.684805533710E1    4.691418993533E1    4.690510357904E1    4.690506834255E1    4.690506852550E1
    1.123212321232E0    4.664043664261E1    6.885092936117E1    5.715307936543E1    4.929875274838E1    4.657622360295E1    4.664977582737E1    4.664045867801E1    4.664043643812E1    4.664043663316E1
    1.124312431243E0    4.637666035101E1    6.873226714818E1    5.693362523024E1    4.902172948069E1    4.630552548259E1    4.638616525419E1    4.637667020572E1    4.637666015795E1    4.637666034125E1
    1.125412541254E0    4.611373725156E1    6.861362027953E1    5.671428385717E1    4.874515387601E1    4.603595505459E1    4.612335805348E1    4.611373603003E1    4.611373709641E1    4.611373724697E1
    1.126512651265E0    4.585166494756E1    6.849498889099E1    5.649505624410E1    4.846902989596E1    4.576750639758E1    4.586135406292E1    4.585165395413E1    4.585166484785E1    4.585166494755E1
    1.127612761276E0    4.559044104868E1    6.837637311836E1    5.627594338894E1    4.819336150218E1    4.550017359014E1    4.560015312016E1    4.559042159798E1    4.559044100663E1    4.559044104478E1
    1.128712871287E0    4.533006317093E1    6.825777309743E1    5.605694628959E1    4.791815265626E1    4.523395071088E1    4.533975506291E1    4.533003654932E1    4.533006316712E1    4.533006316161E1
    1.129812981298E0    4.507052893668E1    6.813918896399E1    5.583806594393E1    4.764340731984E1    4.496883183839E1    4.508015972881E1    4.507049639586E1    4.507052892628E1    4.507052892704E1
    1.130913091309E0    4.481183597459E1    6.802062085383E1    5.561930334986E1    4.736912945454E1    4.470481105128E1    4.482136695557E1    4.481179872533E1    4.481183591781E1    4.481183597005E1
    1.132013201320E0    4.455398191967E1    6.790206890275E1    5.540065950527E1    4.709532302196E1    4.444188242815E1    4.456337658084E1    4.455394112544E1    4.455398180249E1    4.455398191966E1
    1.133113311331E0    4.429696441319E1    6.778353324652E1    5.518213540807E1    4.682199198374E1    4.418004004760E1    4.430618844230E1    4.429692118392E1    4.429696424174E1    4.429696440935E1
    1.134213421342E0    4.404078110270E1    6.766501402095E1    5.496373205614E1    4.654914030149E1    4.391927798822E1    4.404980237764E1    4.404073648850E1    4.404078089700E1    4.404078109350E1
    1.135313531353E0    4.378542964200E1    6.754651136182E1    5.474545044738E1    4.627677193684E1    4.365959032862E1    4.379421822452E1    4.378538462688E1    4.378542942969E1    4.378542963248E1
    1.136413641364E0    4.353090769114E1    6.742802540493E1    5.452729157968E1    4.600489085140E1    4.340097114740E1    4.353943582063E1    4.353086318680E1    4.353090750123E1    4.353090768665E1
    1.137513751375E0    4.327721291640E1    6.730955628606E1    5.430925645095E1    4.573350100678E1    4.314341452315E1    4.328545500363E1    4.327716975598E1    4.327721277306E1    4.327721291639E1
    1.138613861386E0    4.302434299027E1    6.719110414101E1    5.409134605907E1    4.546260636462E1    4.288691453449E1    4.303227561121E1    4.302430192214E1    4.302434290659E1    4.302434298649E1
    1.139713971397E0    4.277229559140E1    6.707266910556E1    5.387356140193E1    4.519221088653E1    4.263146526000E1    4.277989748104E1    4.277225727300E1    4.277229556325E1    4.277229558233E1
    1.140814081408E0    4.252106840465E1    6.695425131550E1    5.365590347745E1    4.492231853413E1    4.237706077829E1    4.252832045079E1    4.252103339628E1    4.252106840447E1    4.252106839525E1
    1.141914191419E0    4.227065912104E1    6.683585090664E1    5.343837328350E1    4.465293326904E1    4.212369516796E1    4.227754435814E1    4.227062787971E1    4.227065910090E1    4.227065911659E1
    1.143014301430E0    4.202106543772E1    6.671746801475E1    5.322097181798E1    4.438405905288E1    4.187136250761E1    4.202756904077E1    4.202103831100E1    4.202106536674E1    4.202106543770E1
    1.144114411441E0    4.177228505796E1    6.659910277562E1    5.300370007880E1    4.411569984726E1    4.162005687583E1    4.177839433635E1    4.177226227789E1    4.177228492908E1    4.177228505425E1
    1.145214521452E0    4.152431569117E1    6.648075532506E1    5.278655906383E1    4.384785961382E1    4.136977235124E1    4.153002008256E1    4.152429736809E1    4.152431551497E1    4.152431568223E1
    1.146314631463E0    4.127715505284E1    6.636242579884E1    5.256954977099E1    4.358054231416E1    4.112050301243E1    4.128244611707E1    4.127714116932E1    4.127715485151E1    4.127715504356E1
    1.147414741474E0    4.103080086454E1    6.624411433276E1    5.235267319816E1    4.331375190992E1    4.087224293799E1    4.103567227756E1    4.103079126931E1    4.103080066576E1    4.103080086014E1
    1.148514851485E0    4.078525085391E1    6.612582106262E1    5.213593034323E1    4.304749236269E1    4.062498620654E1    4.078969840171E1    4.078524525577E1    4.078525068479E1    4.078525085389E1
    1.149614961496E0    4.054050275464E1    6.600754612419E1    5.191932220411E1    4.278176763412E1    4.037872689666E1    4.054452432718E1    4.054050071644E1    4.054050263569E1    4.054050275099E1
    1.150715071507E0    4.029655430645E1    6.588928965327E1    5.170284977869E1    4.251658168581E1    4.013345908696E1    4.030014989167E1    4.029655524066E1    4.029655424552E1    4.029655429763E1
    1.151815181518E0    4.005340325507E1    6.577105178565E1    5.148651406486E1    4.225193847939E1    3.988917685605E1    4.005657493283E1    4.005340651170E1    4.005340324136E1    4.005340324589E1
